person,modelo_mas_visitado,region_persona,pais,evento_predominante_mes_5,semana_mas_interactuante,device_type,channel_frecuente
4922d35b,Samsung Galaxy J7 Prime,Unknown,Brazil,viewed product,Third,Computer,Direct
5a6271a3,Samsung Galaxy J5,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Paid
e33c3912,Motorola Moto X Style,Pernambuco,Brazil,viewed product,First,Smartphone,Paid
2e859325,iPhone 7,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Paid
b19da5bf,Samsung Galaxy S6 Edge Plus,Sao Paulo,Brazil,viewed product,Third,Smartphone,Paid
df10eee9,Samsung Galaxy S6 Edge,Pernambuco,Brazil,visited site,Fourth,Smartphone,Paid
ac091252,Motorola Moto G5 Plus,Sao Paulo,Brazil,viewed product,Third,Smartphone,Referral
d520c4a3,iPhone 7,Sao Paulo,Brazil,viewed product,Third,Computer,Paid
bafc5873,iPhone SE,Unknown,Brazil,viewed product,Fourth,Computer,Email
b9dc0253,Samsung Galaxy S6 Edge,Mato Grosso do Sul,Brazil,viewed product,Third,Computer,Direct
eba759cd,0,0,0,visited site,Fourth,Computer,Organic
ff4456c4,Samsung Galaxy J5,Pernambuco,Brazil,brand listing,Third,Computer,Paid
586b7a1c,iPhone 4S,Amazonas,Brazil,viewed product,Fourth,Smartphone,Paid
33b16b20,Samsung Galaxy Win Duos,Sao Paulo,Brazil,viewed product,Second,Computer,Paid
562e6b54,Samsung Galaxy J7 Prime,Pernambuco,Brazil,viewed product,Third,Smartphone,Paid
8b3e9e11,Motorola Moto G4 Plus,Goias,Brazil,searched products,Fourth,Smartphone,Direct
f354b998,0,0,0,checkout,Fourth,Smartphone,Direct
2471e925,0,0,0,checkout,Fourth,Computer,Referral
382cf904,Samsung Galaxy J7 Prime,Rio Grande do Sul,Brazil,viewed product,Fifth,Computer,Organic
edd16f48,iPhone 5s,Sao Paulo,Brazil,ad campaign hit,Fourth,Smartphone,Paid
dd855277,Motorola Moto G4 Play DTV,Sao Paulo,Brazil,viewed product,Third,Computer,Direct
dd1c059d,Samsung Galaxy J5,Maranhao,Brazil,viewed product,Third,Smartphone,Paid
c4ec9da3,Samsung Galaxy S6 Edge,Sao Paulo,Brazil,searched products,Fifth,Smartphone,Paid
a5555c86,Samsung Galaxy J1 Mini,Para,Brazil,visited site,Third,Smartphone,Paid
67688fab,iPhone 5s,Espirito Santo,Brazil,visited site,Fourth,Smartphone,Paid
f83fbc90,Motorola Moto Z Play,Unknown,Brazil,viewed product,Fourth,Tablet,Paid
f12f3230,iPhone 5,Para,Brazil,checkout,Fourth,Smartphone,Referral
582c4668,iPhone 6,Goias,Brazil,viewed product,Third,Smartphone,Paid
0bc4ce93,Samsung Galaxy S6 Flat,Ceara,Brazil,viewed product,Fourth,Computer,Direct
e77915ef,iPhone 5s,Alagoas,Brazil,viewed product,Fourth,Smartphone,Organic
a957e529,iPhone 7,Rio de Janeiro,Brazil,viewed product,Second,Computer,Paid
83975d05,Motorola Moto G2 3G Dual,Unknown,Unknown,generic listing,Fourth,Smartphone,Direct
853d80ff,iPhone 7 Plus,Sao Paulo,Brazil,brand listing,Fourth,Computer,Direct
986e0d28,iPhone 7 Plus,Rio de Janeiro,Brazil,viewed product,Third,Smartphone,Organic
eb198477,Samsung Galaxy S7,Unknown,Brazil,viewed product,Fourth,Computer,Paid
1ebf7c16,iPhone 6S,Parana,Brazil,viewed product,First,Smartphone,Paid
41858fdf,Samsung Galaxy Win Duos,Paraíba,Brazil,ad campaign hit,Fourth,Smartphone,Paid
7dd65ff2,Motorola Moto Z Play,Mato Grosso do Sul,Brazil,viewed product,Fourth,Computer,Organic
dd26e947,Samsung Galaxy S6 Flat,Minas Gerais,Brazil,checkout,Fourth,Smartphone,Direct
3767f9b9,Samsung Galaxy J5,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Paid
3b71ed06,Samsung Galaxy A5,Bahia,Brazil,ad campaign hit,Second,Smartphone,Paid
b11eecfc,Samsung Galaxy S7 Edge,Minas Gerais,Brazil,ad campaign hit,Fourth,Smartphone,Referral
94ea5cef,iPhone 6S,Espirito Santo,Brazil,ad campaign hit,Third,Smartphone,Paid
2fa955fd,iPhone 6,Para,Brazil,viewed product,Fourth,Smartphone,Organic
358ecc8e,Samsung Galaxy S6 Flat,Minas Gerais,Brazil,viewed product,Third,Smartphone,Referral
ed45663c,iPhone 7,Rio de Janeiro,Brazil,brand listing,Fourth,Computer,Paid
b6c049e2,iPhone X,Piaui,Brazil,viewed product,Third,Computer,Paid
3e9edf84,iPhone 6,Goias,Brazil,viewed product,Fourth,Smartphone,Direct
4a635360,Samsung Galaxy S7 Edge,Goias,Brazil,viewed product,Second,Smartphone,Organic
f47d8a84,iPhone 6,Pernambuco,Brazil,ad campaign hit,Fourth,Computer,Paid
dc36b31b,iPhone 5s,Minas Gerais,Brazil,ad campaign hit,Fourth,Unknown,Paid
cd585eef,Samsung Galaxy S8,Acre,Brazil,viewed product,Third,Computer,Paid
c8e97a97,Samsung Galaxy J7,Rio Grande do Norte,Brazil,viewed product,Second,Computer,Paid
fd7b9806,Samsung Galaxy J7,Rio de Janeiro,Brazil,viewed product,Third,Computer,Paid
678e5d3b,Samsung Galaxy S7 Edge,Rio de Janeiro,Brazil,viewed product,Third,Smartphone,Paid
590a8cec,iPhone 6S Plus,Sao Paulo,Brazil,checkout,Fourth,Smartphone,Direct
0de84249,Samsung Galaxy Gran Prime 3G Duos,Sao Paulo,Brazil,viewed product,Fourth,Computer,Direct
ca9e125e,Samsung Galaxy A9 Pro 2016,Rio de Janeiro,Brazil,brand listing,Fourth,Computer,Paid
2f6b4454,Samsung Galaxy S6 Edge,Para,Brazil,viewed product,Fourth,Smartphone,Organic
a51c50eb,Samsung Galaxy Y Duos,Rio Grande do Sul,Brazil,viewed product,Third,Smartphone,Referral
83b559e5,Samsung Galaxy S7 Edge,Parana,Brazil,viewed product,Third,Computer,Direct
bf440e99,iPhone 5c,Para,Brazil,viewed product,Third,Computer,Direct
ae21f123,Samsung Galaxy J5,Para,Brazil,viewed product,Fourth,Computer,Paid
d9cfc6eb,Motorola Moto G5 Plus,Sao Paulo,Brazil,viewed product,Fourth,Computer,Organic
0fd7ba4a,iPhone 6S,Para,Brazil,viewed product,Third,Computer,Paid
f1681ee9,iPhone 7,Unknown,Brazil,brand listing,Fourth,Computer,Organic
9f1df3d0,Motorola Moto Z,Unknown,Brazil,viewed product,Third,Computer,Organic
481c6e69,iPhone 7,Unknown,Brazil,viewed product,Fourth,Computer,Direct
d1792a2e,iPhone 5s,Rio de Janeiro,Brazil,viewed product,Second,Computer,Paid
9787129e,iPhone 6S,Amazonas,Brazil,viewed product,Fourth,Computer,Direct
11932e7d,Sony Xperia Z2,Bahia,Brazil,viewed product,Third,Computer,Paid
9cd89285,iPhone 4G,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Paid
d4f4c58b,iPhone 5s,Sao Paulo,Brazil,viewed product,Fourth,Computer,Paid
18ff67ba,iPhone 6S,Sao Paulo,Brazil,viewed product,Fourth,Computer,Organic
4d51cae5,Samsung Galaxy S6 Edge,Bahia,Brazil,search engine hit,Second,Smartphone,Paid
29c06ba0,Samsung Galaxy S8,Rio Grande do Norte,Brazil,viewed product,Third,Computer,Paid
2bf1879d,Samsung Galaxy S8 Plus,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Paid
5f98b712,Motorola Moto G2 3G Dual,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Organic
3f458620,iPhone 6,Rio de Janeiro,Brazil,viewed product,Fourth,Computer,Paid
d9e83eae,iPhone 6,Minas Gerais,Brazil,viewed product,First,Computer,Direct
cada1c6c,Samsung Galaxy S7,Sao Paulo,Brazil,ad campaign hit,Fourth,Smartphone,Paid
5c76e694,Lenovo Vibe K5,Acre,Brazil,searched products,Fifth,Smartphone,Paid
ea11bf3e,iPhone 5s,Espirito Santo,Brazil,viewed product,Second,Computer,Paid
6ec05a33,Samsung Galaxy S7 Edge,Parana,Brazil,viewed product,Third,Computer,Paid
3ab2df3e,Samsung Galaxy J7 Prime,Minas Gerais,Brazil,viewed product,Third,Smartphone,Direct
4b61910e,Samsung Galaxy S7,Unknown,Brazil,viewed product,Second,Computer,Paid
32fb6722,Samsung Galaxy Win Duos,Sao Paulo,Brazil,viewed product,Second,Computer,Paid
1463a232,Samsung Galaxy J5,Espirito Santo,Brazil,viewed product,Second,Computer,Paid
44b18673,Samsung Galaxy Gran Prime Duos TV,Unknown,Brazil,viewed product,Second,Computer,Paid
0ba4ea48,iPhone 6S,Texas,United States,viewed product,Fourth,Computer,Direct
177f1298,Samsung Galaxy S6 Flat,Rio de Janeiro,Brazil,viewed product,Third,Computer,Direct
11304e27,Samsung Galaxy S7 Edge,Sao Paulo,Brazil,viewed product,Fourth,Computer,Direct
666d7197,iPhone 6S,Sao Paulo,Brazil,searched products,First,Smartphone,Direct
63700330,Motorola Moto X Play 4G Dual,Unknown,Brazil,viewed product,Second,Computer,Paid
da0bc48e,Samsung Galaxy Gran Prime Duos TV,Rio de Janeiro,Brazil,viewed product,Third,Computer,Direct
cf17b19f,Samsung Galaxy J7,Bahia,Brazil,ad campaign hit,Second,Computer,Paid
efd2afea,iPhone 6,Bahia,Brazil,viewed product,Fourth,Computer,Organic
567d6a5c,iPhone 4S,Sao Paulo,Brazil,brand listing,Third,Smartphone,Direct
ce61ae9c,iPhone 5s,Sao Paulo,Brazil,ad campaign hit,Second,Computer,Paid
8b432d00,iPhone 6S Plus,Maranhao,Brazil,viewed product,Fourth,Smartphone,Direct
23981a83,Motorola Moto G3 4G,Sao Paulo,Brazil,viewed product,Second,Smartphone,Paid
7ba42ac4,Samsung Galaxy J7,Bahia,Brazil,viewed product,Second,Computer,Direct
4ce34094,Samsung Galaxy J7,Ceara,Brazil,viewed product,Fourth,Computer,Paid
b96a042e,Motorola Moto G4 Plus,Pernambuco,Brazil,viewed product,Third,Computer,Direct
48b78f37,iPhone 6S,Minas Gerais,Brazil,viewed product,Second,Computer,Paid
12fa13a4,iPhone 7 Plus,Sao Paulo,Brazil,viewed product,Third,Smartphone,Paid
bac5cad9,Samsung Galaxy S7 Edge,Sao Paulo,Brazil,viewed product,First,Smartphone,Paid
ab8a88d4,Samsung Galaxy S6 Flat,Unknown,Brazil,viewed product,Second,Smartphone,Referral
590874fa,iPhone 6,Minas Gerais,Brazil,viewed product,Third,Computer,Paid
aa9f55fc,iPhone 6,Sao Paulo,Brazil,searched products,Third,Smartphone,Referral
b58be789,Samsung Galaxy S7,Unknown,Brazil,viewed product,Second,Smartphone,Organic
c62d4787,iPhone 6 Plus,Minas Gerais,Brazil,viewed product,First,Computer,Paid
0680b00d,iPhone 6,Goias,Brazil,viewed product,Fourth,Computer,Referral
e95541e5,0,0,0,checkout,Fourth,,
86f812a6,Samsung Galaxy J5 Prime,Goias,Brazil,viewed product,Fourth,Smartphone,Direct
059cb926,0,0,0,visited site,Fourth,Computer,Organic
61af2479,iPhone 6 Plus,Rio Grande do Sul,Brazil,viewed product,Second,Smartphone,Referral
5048ee7d,Samsung Galaxy S7,Santa Catarina,Brazil,viewed product,Fourth,Smartphone,Paid
42c32ba9,Samsung Galaxy S7 Edge,Unknown,Brazil,viewed product,Third,Computer,Direct
3b524646,Samsung Galaxy A5 2017,Rio de Janeiro,Brazil,viewed product,Fourth,Smartphone,Organic
92279909,0,0,0,ad campaign hit,Fourth,Smartphone,Paid
23b1bbe4,Samsung Galaxy S8,Minas Gerais,Brazil,viewed product,Fourth,Smartphone,Organic
c46ec644,iPhone SE,Sao Paulo,Brazil,checkout,Fourth,Computer,Organic
c01b8880,Samsung Galaxy J5 PRO,Bahia,Brazil,viewed product,Third,Smartphone,Paid
abf9bc9c,Samsung Galaxy S7,Rio de Janeiro,Brazil,viewed product,Third,Computer,Paid
c44b2c02,iPhone 7 Plus,Sao Paulo,Brazil,viewed product,Fourth,Computer,Paid
7b965956,Samsung Galaxy S8,Sao Paulo,Brazil,viewed product,Fourth,Tablet,Paid
87523bd5,Samsung Galaxy S7 Edge,Ceara,Brazil,ad campaign hit,Fourth,Computer,Paid
d811e5f7,iPhone 7 Plus,Maranhao,Brazil,viewed product,Second,Smartphone,Paid
1fd6a5ad,Samsung Galaxy Note 3,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Paid
eede3454,Samsung Galaxy S5,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Paid
d313cbb6,Samsung Galaxy S6 Flat,Bahia,Brazil,viewed product,Third,Smartphone,Referral
09fa700c,Motorola Moto X Force,Espirito Santo,Brazil,viewed product,Fourth,Computer,Paid
b0b34bd6,Samsung Galaxy S6 Edge Plus,Sao Paulo,Brazil,viewed product,Fourth,Computer,Paid
9370907b,iPhone SE,Rio de Janeiro,Brazil,viewed product,Third,Smartphone,Paid
c0e44bb0,iPhone 6S,Unknown,Brazil,viewed product,Fourth,Smartphone,Organic
765d6edd,iPhone 6 Plus,Minas Gerais,Brazil,viewed product,Fourth,Smartphone,Paid
9065edcd,Motorola Moto G5 Plus,Parana,Brazil,viewed product,Third,Computer,Paid
584f3df0,Samsung Galaxy S3 Mini,Ceara,Brazil,visited site,Fourth,Smartphone,Paid
148e6056,iPhone 7,Rio Grande do Sul,Brazil,brand listing,Third,Computer,Organic
059d594b,Samsung Galaxy S7,Sao Paulo,Brazil,brand listing,Fourth,Smartphone,Referral
9a6ca337,Samsung Galaxy S5 New Edition Duos ,Bahia,Brazil,visited site,Fourth,Smartphone,Paid
98523d43,Samsung Galaxy J5,Goias,Brazil,visited site,Fourth,Smartphone,Paid
f5d89bac,Samsung Galaxy S8,Federal District,Brazil,viewed product,Second,Computer,Direct
990a7018,iPhone 6S,Sao Paulo,Brazil,visited site,Fourth,Smartphone,Paid
e656f67d,Motorola Moto X2,Maranhao,Brazil,viewed product,Third,Computer,Paid
8a4647d2,0,0,0,checkout,Fourth,Computer,Referral
f2ddab42,iPhone 6,Espirito Santo,Brazil,viewed product,Second,Smartphone,Referral
df1cde26,iPhone 5s,Sao Paulo,Brazil,viewed product,Fourth,Computer,Paid
8965245f,Samsung Galaxy S4 i9505,Unknown,Brazil,viewed product,Fourth,Smartphone,Paid
99071589,iPhone 4S,Rondonia,Brazil,viewed product,Fourth,Computer,Paid
b8b7109c,Motorola Moto G4 Plus,Goias,Brazil,viewed product,Fourth,Computer,Paid
fbe3f97c,Samsung Galaxy J5,Para,Brazil,viewed product,Fourth,Computer,Organic
8e6dc1fe,iPhone 6,Rio Grande do Sul,Brazil,viewed product,Second,Computer,Direct
8e97b7b9,Samsung Galaxy S7,Bahia,Brazil,viewed product,Third,Computer,Direct
8a5ca783,Samsung Galaxy Note 4,Rio de Janeiro,Brazil,checkout,Fourth,Tablet,Organic
4611bf9d,iPhone 5s,Pernambuco,Brazil,viewed product,Fourth,Computer,Paid
ed13091d,iPhone 6,Minas Gerais,Brazil,viewed product,Fourth,Smartphone,Paid
f1fbc9ea,Samsung Galaxy S7 Edge,Unknown,Brazil,viewed product,Third,Computer,Paid
a30e5b28,Samsung Galaxy J1 Mini,Rio de Janeiro,Brazil,ad campaign hit,Fourth,Smartphone,Paid
583c0e20,0,0,0,checkout,Fourth,,
d8001b23,iPhone SE,Rio de Janeiro,Brazil,viewed product,First,Computer,Paid
2a41f459,Samsung Galaxy S7,Sao Paulo,Brazil,viewed product,Fourth,Computer,Paid
59b0a29f,iPhone 5s,Rio de Janeiro,Brazil,viewed product,Third,Smartphone,Paid
87edf05f,Samsung Galaxy S8,Sao Paulo,Brazil,viewed product,Fourth,Computer,Paid
acba9049,Motorola Moto G3 4G,Unknown,Brazil,ad campaign hit,Fourth,Smartphone,Paid
ce8fefd6,iPhone 5s,Goias,Brazil,viewed product,Fourth,Smartphone,Direct
37428727,iPhone 5s,Rio de Janeiro,Brazil,viewed product,Third,Smartphone,Paid
6e23c413,Motorola Moto G4 Plus,Sao Paulo,Brazil,viewed product,Third,Smartphone,Direct
d5d7a9c8,Samsung Galaxy J2 Prime TV,Bahia,Brazil,ad campaign hit,Fourth,Computer,Paid
1d43c56e,Samsung Galaxy S7 Edge,Bahia,Brazil,viewed product,Third,Smartphone,Direct
7bbc47be,iPhone 5s,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Paid
27bf1be1,0,0,0,viewed product,Fourth,,
aca097fd,Samsung Galaxy Core Plus Duos TV,Parana,Brazil,visited site,Fourth,Smartphone,Paid
8e66fe9e,iPhone 7 Plus,Unknown,Brazil,searched products,Fourth,Smartphone,Paid
4923f5fc,iPhone 6,Sergipe,Brazil,viewed product,Fourth,Smartphone,Direct
92b49db0,0,0,0,checkout,Fourth,,
8476a155,Samsung Galaxy J5 Prime,Sao Paulo,Brazil,ad campaign hit,Third,Smartphone,Paid
91d0e044,Samsung Galaxy J7 Prime,Rio de Janeiro,Brazil,visited site,Fourth,Computer,Paid
15a68aba,Samsung Galaxy Core 2 Duos,Unknown,Brazil,ad campaign hit,Fourth,Computer,Paid
235bceb7,Samsung Galaxy J2 Prime TV,Bahia,Brazil,ad campaign hit,First,Computer,Paid
ef1c8bff,Samsung Galaxy S6 Edge,Espirito Santo,Brazil,viewed product,Fourth,Smartphone,Organic
0bc19d01,Samsung Galaxy Win Duos,Sao Paulo,Brazil,ad campaign hit,Third,Smartphone,Paid
2aa76e51,Motorola Moto X Style,Parana,Brazil,viewed product,Fourth,Computer,Paid
5760bac2,Motorola Moto G3 HDTV,Minas Gerais,Brazil,ad campaign hit,Third,Smartphone,Paid
12a436e0,Samsung Galaxy S7 Edge,Minas Gerais,Brazil,visited site,Third,Smartphone,Referral
a3aebe23,LG L Prime D337,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Paid
cf907e44,Samsung Galaxy Gran Prime Duos TV,Sao Paulo,Brazil,checkout,Fourth,Smartphone,Direct
3a60a800,iPhone 5c,Unknown,Brazil,viewed product,First,Computer,Direct
38538aea,iPhone 6,Minas Gerais,Brazil,searched products,Fourth,Smartphone,Paid
0f018135,Samsung Galaxy S3 i9300,Unknown,Brazil,viewed product,Fourth,Computer,Paid
74f50572,Samsung Galaxy J2 4G Duos TV,Sao Paulo,Brazil,visited site,Fourth,Smartphone,Paid
6dbf188e,iPhone 7,Rio de Janeiro,Brazil,viewed product,Fourth,Smartphone,Organic
d62c2af7,LG  X Screen,Rio de Janeiro,Brazil,brand listing,Fourth,Tablet,Organic
0cbb9152,0,0,0,viewed product,Fourth,,
e3fa44c2,iPhone 5s,Para,Brazil,viewed product,Fourth,Computer,Direct
943a655f,Samsung Galaxy J7 Neo,Unknown,Unknown,viewed product,Fourth,Computer,Paid
f08b6fd4,iPhone 6,Sao Paulo,Brazil,viewed product,Fourth,Computer,Paid
fa4a71c4,iPhone 7,Sao Paulo,Brazil,viewed product,Fourth,Computer,Paid
4efb67ad,iPhone 5s,Unknown,Brazil,viewed product,Third,Smartphone,Paid
8ab7ea15,iPhone 7 Plus,Maranhao,Brazil,viewed product,Fourth,Smartphone,Direct
f8f1b935,Samsung Galaxy Core 2 Duos,Unknown,Brazil,viewed product,Fourth,Computer,Paid
384e996b,iPhone 6,Santa Catarina,Brazil,viewed product,Fourth,Computer,Direct
61b62cfe,iPhone 6S,Minas Gerais,Brazil,viewed product,Fourth,Computer,Organic
59a221b4,Samsung Galaxy J7,Federal District,Brazil,brand listing,Fourth,Computer,Organic
07b22fcb,iPhone 6S,Minas Gerais,Brazil,viewed product,Fourth,Computer,Paid
26178553,iPhone 5s,Unknown,Brazil,viewed product,Third,Smartphone,Paid
9ea836fb,0,0,0,checkout,Fourth,Smartphone,Referral
344acad2,iPhone 5c,Goias,Brazil,viewed product,Fourth,Computer,Paid
932f9ab3,Motorola Moto G4 Plus,Minas Gerais,Brazil,viewed product,Third,Computer,Direct
eab571ac,Samsung Galaxy J7 Prime,Pernambuco,Brazil,brand listing,Third,Computer,Direct
2b04eed5,Samsung Galaxy J1 Mini,Goias,Brazil,viewed product,Fourth,Computer,Paid
3df2a9c6,Samsung Galaxy S6 Flat,Alagoas,Brazil,ad campaign hit,Third,Computer,Paid
d3bb4e20,iPhone 6 Plus,Rio de Janeiro,Brazil,viewed product,Second,Computer,Direct
ad0856a7,iPhone 5s,Unknown,Brazil,viewed product,Third,Smartphone,Paid
c061bc22,iPhone 4G,Sao Paulo,Brazil,searched products,Third,Smartphone,Organic
bb1ce073,Samsung Galaxy S8,Unknown,Unknown,viewed product,Third,Computer,Paid
8ee06293,0,0,0,checkout,Fourth,,
388de4a9,Samsung Galaxy A7 2017,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Direct
e08f9052,Lenovo Vibe A7010 Dual Chip,Sao Paulo,Brazil,visited site,Fourth,Computer,Referral
bf5ee9a3,iPhone X,Unknown,Brazil,checkout,Fourth,Smartphone,Paid
8d1c5fcd,iPhone 6 Plus,Maranhao,Brazil,viewed product,Fourth,Smartphone,Paid
fb47c075,iPhone 6S Plus,Rio de Janeiro,Brazil,viewed product,Fourth,Smartphone,Paid
593d17ab,Samsung Galaxy A5,Bahia,Brazil,viewed product,Fourth,Smartphone,Organic
799b0424,Samsung Galaxy S8 Plus,Amazonas,Brazil,viewed product,Third,Computer,Paid
2b4962c4,Samsung Galaxy J5,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Paid
ff228fc0,iPhone SE,Sergipe,Brazil,ad campaign hit,Fourth,Smartphone,Paid
cdd5d2b8,iPhone 6S,Minas Gerais,Brazil,viewed product,Fourth,Computer,Paid
cf78c5d3,iPhone 5s,Pernambuco,Brazil,ad campaign hit,Fourth,Smartphone,Paid
756fc1a3,iPhone 5,Bahia,Brazil,brand listing,Fourth,Smartphone,Paid
3848d966,Samsung Galaxy Gran Prime Duos TV,Sao Paulo,Brazil,viewed product,First,Computer,Direct
73b655de,iPhone 7,Espirito Santo,Brazil,viewed product,Fourth,Tablet,Direct
8be6d66d,iPhone 5c,Sao Paulo,Brazil,checkout,Fourth,Computer,Paid
0e383277,Samsung Galaxy S8 Plus,Minas Gerais,Brazil,viewed product,Third,Computer,Direct
f9f35b72,Samsung Galaxy J5,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Paid
289a916f,iPhone 6S,Pernambuco,Brazil,ad campaign hit,Fourth,Smartphone,Paid
07e10e17,Samsung Galaxy A5,Sao Paulo,Brazil,ad campaign hit,Third,Smartphone,Paid
4be61fe5,0,0,0,checkout,Fourth,,
eab4d1c8,Samsung Galaxy A9 Pro 2016,Sao Paulo,Brazil,viewed product,Third,Smartphone,Organic
7c5fb913,iPhone 6,Unknown,Brazil,visited site,Fourth,Computer,Organic
87b02276,iPhone 6S,Pernambuco,Brazil,viewed product,Third,Computer,Paid
e8b65a6e,Samsung Galaxy S7,Sao Paulo,Brazil,visited site,Fourth,Smartphone,Paid
b6ce7a60,Samsung Galaxy S7 Edge,Federal District,Brazil,viewed product,Second,Computer,Referral
29a877cc,LG G5 SE,Bahia,Brazil,visited site,Fourth,Smartphone,Paid
83cdf552,Samsung Galaxy J5,Rio de Janeiro,Brazil,checkout,Fourth,Smartphone,Paid
47757197,Samsung Galaxy J3,Espirito Santo,Brazil,searched products,Third,Computer,Paid
532a0f2e,iPhone 7 Plus,Sao Paulo,Brazil,viewed product,Fifth,Computer,Paid
e3bc62fd,Samsung Galaxy A5 2016,Para,Brazil,ad campaign hit,Fourth,Smartphone,Paid
dab32179,Samsung Galaxy S5,Sergipe,Brazil,ad campaign hit,Fourth,Computer,Direct
f033e62b,iPhone 6,Tocantins,Brazil,viewed product,Third,Computer,Paid
a7898028,Motorola Moto MAXX ,Rio de Janeiro,Brazil,checkout,Fourth,Computer,Paid
ac96a0ae,0,0,0,checkout,Fourth,,
4b1de348,iPhone 6 Plus,Sao Paulo,Brazil,viewed product,Third,Smartphone,Referral
5b1c259b,iPhone 6S,Unknown,Israel,viewed product,Fourth,Smartphone,Paid
0a96ba14,Motorola Moto G2 3G Dual,Minas Gerais,Brazil,visited site,Fourth,Smartphone,Paid
f58616fc,Samsung Galaxy S7,Ceara,Brazil,checkout,Fourth,Computer,Paid
942eb962,iPhone 6S,Sao Paulo,Brazil,ad campaign hit,Fourth,Smartphone,Paid
c55c1870,Samsung Galaxy S3 i9300,Maranhao,Brazil,viewed product,Third,Smartphone,Organic
a67128aa,Samsung Galaxy J5,Rio Grande do Norte,Brazil,ad campaign hit,Fourth,Smartphone,Paid
cdfabedd,Samsung Galaxy Gran Prime Duos TV,Rio de Janeiro,Brazil,ad campaign hit,Fourth,Computer,Paid
0c01c297,Samsung Galaxy J5,Unknown,Brazil,viewed product,Third,Computer,Paid
e149c671,iPhone 5s,Amazonas,Brazil,viewed product,Fourth,Smartphone,Direct
75fb186b,Sony Xperia Z3 Dual,Santa Catarina,Brazil,viewed product,Third,Smartphone,Paid
b5b0989d,Motorola Moto G4 Plus,Sao Paulo,Brazil,viewed product,First,Smartphone,Direct
59b946ec,iPhone 7,Sao Paulo,Brazil,viewed product,Fourth,Computer,Organic
669d7908,Samsung Galaxy J1 Mini,Ceara,Brazil,visited site,Fourth,Computer,Paid
e3e3671d,Samsung Galaxy S7,Rio Grande do Sul,Brazil,viewed product,Fourth,Smartphone,Email
7d534a22,Samsung Galaxy A5 2016,Unknown,Brazil,viewed product,Third,Computer,Organic
8a9c0b31,Samsung Galaxy Gran Prime Duos TV,Unknown,Unknown,visited site,Fourth,Smartphone,Paid
119b58c1,Samsung Galaxy S8 Plus,Unknown,Brazil,viewed product,Fourth,Computer,Paid
f1d4b241,iPhone 5s,Minas Gerais,Brazil,checkout,Fourth,Smartphone,Paid
5d85feba,iPhone 6S,Federal District,Brazil,viewed product,Fourth,Computer,Organic
4e93df98,Motorola Moto G2 3G Dual,Unknown,Brazil,visited site,Fourth,Smartphone,Paid
cb160cb6,iPhone 6,Espirito Santo,Brazil,brand listing,Fourth,Computer,Organic
46edf4e7,Samsung Galaxy S7,Parana,Brazil,visited site,Fourth,Smartphone,Paid
ad61bf4a,iPhone 5c,Unknown,Brazil,ad campaign hit,Fourth,Smartphone,Organic
df2e35ac,0,0,0,checkout,Fourth,,
9e7e89aa,iPhone 5s,Rio Grande do Sul,Brazil,visited site,Fourth,Smartphone,Paid
8a62b23e,Samsung Galaxy J7,Sao Paulo,Brazil,ad campaign hit,Fourth,Computer,Paid
dd988d26,Samsung Galaxy J5,Piaui,Brazil,viewed product,Fourth,Computer,Referral
e81875cc,Samsung Galaxy S7 Edge,Bahia,Brazil,viewed product,Fourth,Computer,Paid
10cafd5d,0,0,0,visited site,Fourth,Computer,Organic
cc07bc6b,Motorola Moto Z2 Play,Bahia,Brazil,visited site,Fourth,Smartphone,Paid
cf095be8,Samsung Galaxy Win Duos,Bahia,Brazil,viewed product,Fourth,Smartphone,Referral
b37cd51a,Samsung Galaxy J5,Rio Grande do Sul,Brazil,viewed product,Fifth,Smartphone,Paid
07a578c6,iPhone 6S,Tocantins,Brazil,viewed product,Third,Computer,Direct
d0848f72,Samsung Galaxy S7 Edge,Unknown,Brazil,viewed product,Third,Smartphone,Organic
603625b8,Samsung Galaxy J7 Prime,Sao Paulo,Brazil,viewed product,Fifth,Smartphone,Paid
9f06d41a,Samsung Galaxy J5 Prime,Parana,Brazil,viewed product,Fifth,Computer,Organic
71505b42,Samsung Galaxy S6 Edge,Sao Paulo,Brazil,brand listing,Fourth,Computer,Paid
340f11a1,iPhone 6,Ceara,Brazil,viewed product,Fourth,Smartphone,Paid
6a170145,Samsung Galaxy S8,Minas Gerais,Brazil,viewed product,Fourth,Smartphone,Paid
da98e990,Samsung Galaxy J7 Prime,Pernambuco,Brazil,checkout,Fifth,Computer,Paid
